FECHA_CORTE,Ingresos,Deterioro
31/01/2016,12556235614,456212289
29/02/2016,11948803346,426440399
31/03/2016,12124055034,507291741
30/04/2016,12268361877,132621564
31/05/2016,22885166819,488187217
30/06/2016,11402124975,273428749
31/07/2016,12672708551,146428742
31/08/2016,11314552264,193425279
30/09/2016,16845647968,1749870635
31/10/2016,11601736565,65271471
30/11/2016,12829596120,85741076
31/12/2016,12835599938,92272378
31/01/2017,12597501763,115908872
28/02/2017,12573016913,58175891
31/03/2017,13412763319,59613614
30/04/2017,15264493860,58885887
31/05/2017,14141665378,67663043
30/06/2017,16405042593,70485854
31/07/2017,14859181832,98284911
31/08/2017,1082521899,127909589
30/09/2017,14658887719,4486201638
31/10/2017,14027743627,72976652
30/11/2017,14887290670,44601797
31/12/2017,16510641048,24676167
31/01/2018,14920473599,54319686
28/02/2018,15039352967,24664012
31/03/2018,18165617515,32046818
30/04/2018,16951898927,36734311
31/05/2018,16294556184,27592996
30/06/2018,38518014369,2094263075
31/07/2018,16569647427,126444093
31/08/2018,16577989196,103938302
30/09/2018,17604967806,90143645
31/10/2018,36881458586,73951521
30/11/2018,23039633119,93644755
31/12/2018,19456907038,141296487
31/01/2019,18263846668,171631598
28/02/2019,17591093693,677147228
31/03/2019,20434942223,596198688
30/04/2019,19897303580,3762336634
31/05/2019,26039990011,69338299
30/06/2019,21178834863,154117702
31/07/2019,22083877699,191082377
31/08/2019,20445020618,138269738
30/09/2019,20641242498,4234247215
31/10/2019,21270851137,170611067
30/11/2019,27835710738,135427779
31/12/2019,21093123989,141749766
31/01/2020,21648431526,66335381
29/02/2020,22305586963,80868871
31/03/2020,19719275754,72114000
30/04/2020,20166310110,91790806
31/05/2020,22071105849,141631575
30/06/2020,21118105257,82319117
31/07/2020,20603974483,71385983
31/08/2020,21729136473,82082659
30/09/2020,21630379651,68681332
31/10/2020,22947089678,90726597
30/11/2020,21792852002,132553217
31/12/2020,21718179038,82875147
31/01/2021,25075483065,106600100
28/02/2021,23289062904,103375172
31/03/2021,21647116921,97306887
30/04/2021,21762720468,99584104
31/05/2021,22431736581,118796209
30/06/2021,23365100280,102115036
31/07/2021,23843999840,60739842
31/08/2021,23864114363,144625605
30/09/2021,23611291128,2099391091
31/10/2021,33027191667,146937440
30/11/2021,22957657890,132665913
31/12/2021,23456186145,1633846266
31/01/2022,27459351868,66026428
28/02/2022,24378151800,72189265
31/03/2022,24242657788,7122031281
30/04/2022,24445346930,65314654
31/05/2022,23993020746,64081679
30/06/2022,23896757125,81552313
31/07/2022,24929839008,7760361265
31/08/2022,65557744307,87949408
30/09/2022,25663027092,123328124
31/10/2022,24126403564,85535386
30/11/2022,23810577583,99569418
31/12/2022,24232253631,71532616
31/01/2023,48186944062,60957244
28/02/2023,43882431132,65856241
31/03/2023,28266340827,69919607
30/04/2023,29392342046,172784908
31/05/2023,27246901653,96956862
30/06/2023,26276359798,3070894401
31/07/2023,27879160011,168991789
31/08/2023,30044807778,88230609
30/09/2023,27669222104,134417045
31/10/2023,25937168241,134170404
30/11/2023,24213570242,99262998
31/12/2023,26384328985,88546646
31/01/2024,32307147290,107205718
29/02/2024,28356799879,115060795
31/03/2024,33581415293,106828590
30/04/2024,27195720063,11441164891
31/05/2024,23126998775,86331878
30/06/2024,29758712102,95378649
31/07/2024,36122438899,113647065
31/08/2024,30699939540,178815394
